deu-enh,eng,warning,Qid_detail
muolter,container,,Q987767
mursing,mortar,,Q45778
nadlenn,larding needle,,Q107272836
napff,bowl,,Q153988
naph,bowl,,Q153988
nateln,larding needle,,Q107272836
nuersing,mortar,,Q45778
oberdekch,lid,,Q2488579
oeffen,baking oven,,Q36539
oelpawm,olea wood,,Q296910
ofem,baking oven,,Q36539
ofen,baking oven,,Q36539
ofenn,baking oven,,Q36539
offel,baking oven,,Q36539
offellein,baking oven,,Q36539
offen,baking oven,,Q36539
offendel,baking oven,,Q36539
offenn,baking oven,,Q36539
offenndel,baking oven,,Q36539
offlein,baking oven,,Q36539
oflein,baking oven,,Q36539
olla,pot,,Q15711817
ouen,baking oven,,Q36539
pachofen,baking oven,,Q36539
pachoffen,baking oven,,Q36539
pain,skull,,Q13147
paiss,tannin,,Q187607
paisse,tannin,,Q187607
panchk,workbench,,Q347690
panck,workbench,,Q347690
pankch,workbench,,Q347690
panne,pan,,Q127666
pannen,pan,,Q127666
pannum,cheesecloth,,Q2621157
papier,paper,,Q11472
papir,paper,,Q11472
pappier,paper,,Q11472
pappir,paper,,Q11472
pasteten pfann,dutch oven, ,Q262515
pasteten pfannen,dutch oven, ,Q262515
pawmwoll,cotton,,Q11457
pawtel,bag,,Q1323314
paysse,tannin,,Q187607
peawtel,bag,,Q1323314
pech,cup,,Q81727
pecher,cup,,Q81727
pecher schal,ricer,,Q2603627
peck,basin,,Q2383211
pecke,basin,,Q2383211
pekcher,basin,,Q2383211
peckh,basin,,Q2383211
pefferphan,sieve,,Q381155
pein,skull,,Q13147
peitel,bag,,Q1323314
pek,basin,,Q2383211
pennsel,brush,,Q614467
pesen,whisk,,Q263057
peuetel,bag,,Q1323314
peuttel,bag,,Q1323314
peyn,skull,,Q13147
peyttel,bag,,Q1323314
pfaeffer pfan,sieve,,Q381155
pfaendel,pan,,Q127666
pfaendlein,pan,,Q127666
pfaenelin,pan,,Q127666
pfaennlin,pan,,Q127666
pfaenndl,pan,,Q127666
pfaennelin,pan,,Q127666
pfan,pan,,Q127666
pfandlein,pan,,Q127666
pfanen,pan,,Q127666
pfann,pan,,Q127666
pfanne,pan,,Q127666
pfannen,pan,,Q127666
pfannenn,pan,,Q127666
pfannlein,pan,,Q127666
pfannn,pan,,Q127666
pfannnen,pan,,Q127666
pfannun,pan,,Q127666
pfawen faeder,peacock feather,,Q2353869
pfefer pfann,sieve,,Q381155
pfefer syb,cheesecloth,,Q2621157
pfeffer thuech,cheesecloth,,Q2621157
pfeffer tuoch,cheesecloth,,Q2621157
pfeffertuoch,cheesecloth,,Q2621157
pfeinlein,pan,,Q127666
pfendel,pan,,Q127666
pfendlein,pan,,Q127666
pfendlin,pan,,Q127666
pfenndlein,pan,,Q127666
pfenlein,pan,,Q127666
pfennlein,pan,,Q127666
pffann,pan,,Q127666
pffanen,pan,,Q127666
pffanenn,pan,,Q127666
pffannen,pan,,Q127666
pffeffer pfannen,sieve,,Q381155
pfendell,pan,,Q127666
pffendleinn,pan,,Q127666
pffenlennn,pan,,Q127666
pflaster,medicinal plaster,,Q65185066
pfryem,awl,,Q400406
pfrymen,awl,,Q400406
phaenn,pan,,Q127666
phahen federen,peacock feather,,Q2353869
phan,pan,,Q127666
phandel,pan,,Q127666
phandlen,pan,,Q127666
phandlin,pan,,Q127666
phanlin,pan,,Q127666
phann,pan,,Q127666
phandell,pan,,Q127666
phanndell,pan,,Q127666
phanne,pan,,Q127666
phannen,pan,,Q127666
phannenn,pan,,Q127666
phannn,pan,,Q127666
pheffer sib,cheesecloth,,Q2621157
pheffer tuch,cheesecloth,,Q2621157
pheffer tuech,cheesecloth,,Q2621157
phefferphan,sieve,,Q381155
pheffertuch,cheesecloth,,Q2621157
phenlein,pan,,Q127666
phenlin,pan,,Q127666
phenndlein,pan,,Q127666
phriem,awl,,Q400406
pimsen,unsolved,,Q0
pinczen,unsolved,,Q0
plachen,sheet pan,,Q502335
plaetel,unsolved,,Q0
plasenn,pig's bladder,,Q96756123
plaster,medicinal plaster,,Q65185066
plater,pig's bladder,,Q96756123
plateren,pig's bladder,,Q96756123
platern,pig's bladder,,Q96756123
platter,pig's bladder,,Q96756123
platteren,pig's bladder,,Q96756123
plattern,pig's bladder,,Q96756123
platterr,pig's bladder,,Q96756123
plech,sheet pan,,Q502335
pleteren,pig's bladder,,Q96756123
plosz,pig's bladder,,Q96756123
podelin,cutting board,,Q617239
postetten haffen,pie pot,,Q107272929
postetten haffen,pie pot,,Q107272929
poting,wooden tub,,Q651816
praetell,cutting board,,Q617239
pratspiez,spit,,Q20181361
pratspiezz,spit,,Q20181361
prattspiezz,spit,,Q20181361
prayten eisen,spatula,,Q15148
predt,cutting board,,Q617239
prennd,ember,,Q177257
prennt,ember,,Q177257
prenntlin,bucket,,Q47107
prenntt,ember,,Q177257
prenten,vat,,Q38942
prentlein,bucket,,Q47107
prentt,ember,,Q177257
press,press,warningPOS,Q107272838
preß,press,,Q107272838
pressen,press,,Q107272838
presss,press,,Q107272838
prest,press,,Q107272838
pret,cutting board,,Q617239
pretell,cutting board,,Q617239
preter,cutting board,,Q617239
pretel,cutting board,,Q617239
pretl,cutting board,,Q617239
pretlein,cutting board,,Q617239
prett,cutting board,,Q617239
prettel,cutting board,,Q617239
prettlein,cutting board,,Q617239
prezz,press,,Q107272838
prigel,stick,,Q10971443
proettle,cutting board,,Q617239
protlin,cutting board,,Q617239
prots rinden,bread crust,,Q990859
puchslein,tin can,,Q2846150
puchszenn,tin can,,Q2846150
puechslein,tin can,,Q2846150
pymsen,unsolved,,Q0
raiff,barrel hoop,,Q107272971
rar,metal cone,warningKONTEXT,Q97065692
rast,grate,warningPOS,Q96279691
rauch,smoke,,Q130768
reachel,pipe,,Q41551
reaindel,flat cooking pot,,Q107272834
rechel,pipe,,Q41551
reib eysen,grater,,Q192848
reib scherbem,mortar,,Q45778
reib scherben,mortar,,Q45778
reibscherben,mortar,,Q45778
reib scherbenn,mortar,,Q45778
reib scherem,mortar,,Q45778
reibschern,mortar,,Q45778
reib sib,sieve,,Q381155
reibsib,sieve,,Q381155
reib stain,quern-stone,,Q1543947
reibstain,quern-stone,,Q1543947
reybstain,quern-stone,,Q1543947
reidlen,flat cooking pot,,Q107272834
reind lein,flat cooking pot,,Q107272834
reindel,flat cooking pot,,Q107272834
reindelein,flat cooking pot,,Q107272834
reindell,flat cooking pot,,Q107272834
reindl,flat cooking pot,,Q107272834
reindlein,flat cooking pot,,Q107272834
reindlein,flat cooking pot,,Q107272834
reinell,flat cooking pot,,Q107272834
reitter,sieve,,Q381155
reittern,sieve,,Q381155
rendel,flat cooking pot,,Q107272834
reybeysen,grater,,Q192848
reydell,flat cooking pot,,Q107272834
reyn,flat cooking pot,,Q107272834
reyndel,flat cooking pot,,Q107272834
reyndell,flat cooking pot,,Q107272834
ribeisen,grater,,Q192848
ribeysen,grater,,Q192848
rib eysen,grater,,Q192848
ribeyssen,grater,,Q192848
rib scherbenn,mortar,,Q45778
ribscherbenn,mortar,,Q45778
rindlein,flat cooking pot,,Q107272834
rindleiy,flat cooking pot,,Q107272834
rindt,bread crust,,Q990859
rindten,bread crust,,Q990859
ring,cake ring,,Q2445096
rocken halm,rye stalk,,Q0
roerlein,pipe,,Q41551
roest,grate,warningPOS,Q96279691
roeste,grate,warningPOS,Q96279691
roist,grate,,Q96279691
ror,metal cone,warningKONTEXT,Q97065692
rosenhuett,alembic,,Q845242
roseysen,horseshoe,,Q192130
rosz eysen,horseshoe,,Q192130
rosz ysen,horseshoe,,Q192130
rosseisen,horseshoe,,Q192130
rosseissen,horseshoe,,Q192130
rosseyssen,horseshoe,,Q192130
roß ysen,horseshoe,,Q192130
rost,grate,warningPOS,Q96279691
rosysen,horseshoe,,Q192130
roszysen,horseshoe,,Q192130
rowst,grate,warningPOS,Q96279691
ruckschalen,crayfish shell,,Q107262384
rukch ains messers,knife back,,Q1924166
sachlin,bag,,Q1323314
sack,bag,,Q1323314
sackel,bag,,Q1323314
sackh,bag,,Q1323314
sackl,bag,,Q1323314
sacklein,bag,,Q1323314
saecklein,bag,,Q1323314
saekchlein,bag,,Q1323314
sakch,bag,,Q1323314
sakchel,bag,,Q1323314
sakchell,bag,,Q1323314
sakchelein,bag,,Q1323314
sakchlein,bag,,Q1323314
salsen schueschell,bowl,,Q153988
salsen schussellein,bowl,,Q153988
salsenn schuessell,bowl,,Q153988
salszenn schussell,bowl,,Q153988
sand,sand,,Q34679
sannd,sand,,Q34679
sartagine,pan,,Q127666
saw platern,pig's bladder,,Q96756123
saw plater,pig's bladder,,Q96756123
saw platter,pig's bladder,,Q96756123
saw platteren,pig's bladder,,Q96756123
sawplater,pig's bladder,,Q96756123
sawplateren,pig's bladder,,Q96756123
schaeffel,Schaff,,Q2230042
schaefflein,Schaff,,Q2230042
schaefflin,Schaff,,Q2230042
schaellan,eggshell,warningKONTEXT,Q2731253
schaesel,bowl,,Q153988
schaf,Schaff,,Q2230042
schaff,Schaff,,Q2230042
schaffel,Schaff,,Q2230042
schafflein,Schaff,,Q2230042
schafft,Schaff,,Q2230042
schaitten,spatula,,Q15148
schal,bowl,,Q153988
schalen,eggshell,warningKONTEXT,Q2731253
schalenn,eggshell,warningKONTEXT,Q2731253
schall,eggshell,warningKONTEXT,Q2731253
schallan,eggshell,warningKONTEXT,Q2731253
schallen,eggshell,warningKONTEXT,Q2731253
schapffen,unsolved,,Q0
schattelen,box,warningKONTEXT,Q188075
schaub,straw,,Q160066
schaufel,spatula,,Q15148
schauffel,shovel,,Q7220961
schawb,straw,,Q160066
scheaffel,Schaff,,Q2230042
scheffel,Schaff,,Q2230042
scheffl ,Schaff,,Q2230042
scheffle,Schaff,,Q2230042
schefflein,Schaff,,Q2230042
scheflin,Schaff,,Q2230042
schel,crayfish shell,,Q107262384
scher,container,,Q987767
scherben,container,,Q987767
scherbenn,container,,Q987767
scherblein,container,,Q987767
scherblin,container,,Q987767
scheriben,container,,Q987767
scherlen,container,,Q987767
schermm,container,,Q987767
scheufelein,spatula,,Q15148
scheyben,container,warninhKONTEXT,Q987767
scheyfelin,spatula,,Q15148
scheyffelen,spatula,,Q15148
scheyt,spatula,,Q15148
schin,wreath rail,,Q107272844
schindel,roof shingle,,Q2227106
schinen,rod,,Q1435416
schirb,container,,Q987767
schirben,container,,Q987767
schirbenn,container,,Q987767
schissel,bowl,,Q153988
schisselin,bowl,,Q153988
schissla,bowl,,Q153988
schisslan,bowl,,Q153988
schuassel,bowl,,Q153988
schueemleffel,skimmer,,Q388428
schueesselln,bowl,,Q153988
schueeszell,bowl,,Q153988
schueezzel,bowl,,Q153988
schueezzell,bowl,,Q153988
schueezzeln,bowl,,Q153988
schueezzelnn,bowl,,Q153988
schueezzll,bowl,,Q153988
schuem leffel,skimmer,,Q388428
schuemleffel,skimmer,,Q388428
schueschel,bowl,,Q153988
schuesel,bowl,,Q153988
schueselinen,bowl,,Q153988
schueslen,bowl,,Q153988
schueslenn,bowl,,Q153988
schuessel,bowl,,Q153988
schueßel,bowl,,Q153988
schueßl,bowl,,Q153988
schuesselein,bowl,,Q153988
schuesselin,bowl,,Q153988
schuesselinen,bowl,,Q153988
schuessell,bowl,,Q153988
schueßell,bowl,,Q153988
schuessellin,bowl,,Q153988
schuesseln,bowl,,Q153988
schuessl,bowl,,Q153988
schuesslen,bowl,,Q153988
schuesslenn,bowl,,Q153988
schuessli,bowl,,Q153988
schuessling,gravel,,Q133833
schueszel,bowl,,Q153988
schueszlen,bowl,,Q153988
schueszlin,bowl,,Q153988
schuezzel,bowl,,Q153988
schuezzell,bowl,,Q153988
schuezzellen,bowl,,Q153988
schuezzelln,bowl,,Q153988
schuezzellnn,bowl,,Q153988
schuezzeln,bowl,,Q153988
schuezzelnn,bowl,,Q153988
schuezzl,bowl,,Q153988
schuezzll,bowl,,Q153988
schuklein,bowl,,Q153988
schulsl,bowl,,Q153988
schulsslen,bowl,,Q153988
schuppel,bowl,,Q153988
schuschell,bowl,,Q153988
schusel,bowl,,Q153988
schuseln,bowl,,Q153988
schussel,bowl,,Q153988
schußel,bowl,,Q153988
schusselein,bowl,,Q153988
schusselen,bowl,,Q153988
schussell,bowl,,Q153988
schussellen,bowl,,Q153988
schusseln,bowl,,Q153988
schusselnn,bowl,,Q153988
schussl,bowl,,Q153988
schußl,bowl,,Q153988
schusslein,bowl,,Q153988
schusslenn,bowl,,Q153988
schuszelnn,bowl,,Q153988
schuszlin,bowl,,Q153988
schuzzel,bowl,,Q153988
schuzzeln,bowl,,Q153988
seakchlein,bag,,Q1323314
seckhlein,bag,,Q1323314
seckhlin,bag,,Q1323314
secklein,bag,,Q1323314
secklin,bag,,Q1323314
secklins,bag,,Q1323314
sehib,sieve,,Q381155
seichpfannen,sieve,,Q381155
seit farb,unsolved,,Q0
sekchel,bag,,Q1323314
sekchlein,bag,,Q1323314
sekchlen,bag,,Q1323314
seckelgin,bag,,Q1323314
seckelin,bag,,Q1323314
senfmuelen,mustard mill,,Q684883
serch tuoch,cheesecloth,,Q2621157
sew plasenn,pig's bladder,,Q96756123
seyhen,sieve,,Q381155
sib,sieve,,Q381155
siblein,sieve,,Q381155
siblin,sieve,,Q381155
sichtuch,cheesecloth,,Q2621157
sieb,sieve,,Q381155
siebetueche,unsolved,,Q0
sieblin,sieve,,Q381155
sieblin,sieve,,Q381155
sinbellen eysen,rounded iron rod,,Q107272839
sip,sieve,,Q381155
snuer,thread,,Q1391831
snur,thread,,Q1391831
spaenll,spatula,,Q15148
span,sawdust,,Q816713
spatel,spatula,,Q15148
spateln,spatula,,Q15148
speill,skewer,,Q1323569
speylenn,spit,,Q20181361
spicknadel,larding needle,,Q107272836
spicz,spit,,Q20181361
spiczz,spit,,Q20181361
spies,spit,,Q20181361
spiessel,spit,,Q20181361
spiessell,spit,,Q20181361
spiesz,spit,,Q20181361
spiez,spit,,Q20181361
spiezzel,spit,,Q20181361
spindelspicz,spindle,,Q213761
spis,spit,,Q20181361
spisch,spit,,Q20181361
spischlein,spit,,Q20181361
spisczlein,spit,,Q20181361
spisel,spit,,Q20181361
spisen,spit,,Q20181361
spisl,spit,,Q20181361
spislein,spit,,Q20181361
spislein von holcz,skewer,,Q1323569
spislin,spit,,Q20181361
spiss,spit,,Q20181361
spiß,spit,,Q20181361
spiß der hulczen sey,skewer,,Q1323569
spisse,spit,,Q20181361
spissel,spit,,Q20181361
spisselin,spit,,Q20181361
spissell,spit,,Q20181361
spissen,spit,,Q20181361
spisslein,spit,,Q20181361
spisslin,skewer,,Q1323569
spißlin,skewer,,Q1323569
spißlun,skewer,,Q1323569
spisz,spit,,Q20181361
spisß,spit,,Q20181361
spiszlein,spit,,Q20181361
spiszlin,spit,,Q20181361
spiszlin van holtze gemacht,skewer,,Q1323569
spitz,skewer,,Q1323569
spiz,skewer,warningKONTEXT,Q1323569
spizz,spit,,Q20181361
spizze,skewer,,Q1323569
spondt,bung,,Q11981837
spressell,spit,,Q20181361
springwuercz,unsolved,,Q0
springwurcz cholln,ember,,Q177257
spys,spit,,Q20181361
spyss,spit,,Q20181361
spyß,spit,,Q20181361
spyssel,spit,,Q20181361
spyßlin,spit,,Q20181361
spysslin,spit,,Q20181361
spysß,spit,,Q20181361
staebel,skewer,,Q1323569
staeblein,skewer,,Q1323569
stain,stone,,Q22731
stainen,stone,,Q22731
stanngen,rod,,Q1435416
stecken,skewer,,Q1323569
stehelenn blech,sheet metal,,Q211367
steilen blech,sheet metal,,Q211367
stein,stone,,Q22731
steinen,stone,,Q22731
steynen,stone,,Q22731
stoezzel,pestle,,Q907209
stossel,pestle,,Q907209
streu,straw,,Q160066
stro,straw,,Q160066
stroelein,straw,,Q189211
stuertzen,container,,Q987767
sturtz,container,,Q987767
suellen,awl,,Q400406
sulen,awl,,Q400406
suppen seidl,sieve,,Q381155
swammen,sponge,,Q1210980
syb,sieve,,Q381155
syeb,sieve,,Q381155
syep,sieve,,Q381155
sylen,awl,,Q400406
syv,sieve,,Q381155
tacht,candle wick,,Q849004
taeler,plate,,Q57216
taeller,plate,,Q57216
taellern,plate,,Q57216
taueln,cutting board,,Q617239
tauffel,woodstave,,Q1172769
tegel,container,,Q987767
tegell,container,,Q987767
teig haff,pie pot,,Q107272929
teig haffen,pie pot,,Q107272929
teig haffenn,pie pot,,Q107272929
teig pfan,pie pot,,Q107272929
teig pfanen,pie pot,,Q107272929
teig pfann,pie pot,,Q107272929
teig pfannen,pie pot,,Q107272929
teig phan,pie pot,,Q107272929
teighafen,pie pot,,Q107272929
teighafenn,pie pot,,Q107272929
teighaffenn,pie pot,,Q107272929
teigphan,pie pot,,Q107272929
teigphanne,pie pot,,Q107272929
teigphannen,pie pot,,Q107272929
teler,plate,,Q57216
teller,plate,,Q57216
tellerr,plate,,Q57216
teuch,cheesecloth,,Q2621157
thuch,cheesecloth,,Q2621157
thuech,cheesecloth,,Q2621157
thueech,cheesecloth,,Q2621157
thurch slag,sieve,,Q381155
tigel,container,,Q987767
tigell,container,,Q987767
tisch pret,cutting board,,Q617239
tischs,table,,Q14748
toippen,cooking pot,,Q2366864
topf,cooking pot,,Q2366864
topf der ain loch hab als grosz als ain finger,funnel,,Q29957
topf,cooking pot,,Q2366864
topff,cooking pot,,Q2366864
topffh von taig ,pie pot,,Q107272929
topfflein,cooking pot,,Q2366864
topfhen,pie pot,warningKONTEXT,Q107272929
topflein,cooking pot,,Q2366864
topf von taig,pie pot,,Q107272929
toph,cooking pot,,Q2366864
toph von taig,pie pot,,Q107272929
toph von taig,pie pot,,Q107272929
tophen,pie pot,warningKONTEXT,Q107272929
tophfen,pie pot,warningKONTEXT,Q107272929
tophff,pie pot,warningKONTEXT,Q107272929
tophff von taig,pie pot,,Q107272929
tophffen,pie pot,warningKONTEXT,Q107272929
tophffen,pie pot,warningKONTEXT,Q107272929
tophlein,cooking pot,,Q2366864
toppfel,cooking pot,,Q2366864
toppfen,cooking pot,,Q2366864
topph,cooking pot,,Q2366864
topphfen,cooking pot,,Q2366864
trachter,funnel,,Q29957
treyfues,tripod,,Q1257352
treyfuosz,tripod,,Q1257352
tribl,rolling pin,,Q207763
trichter,funnel,,Q29957
triffueß,tripod,,Q1257352
trifues,tripod,,Q1257352
trifuees,tripod,,Q1257352
trifueß,tripod,,Q1257352
trifuesz,tripod,,Q1257352
trifusz,tripod,,Q1257352
tuach,cheesecloth,,Q2621157
tuch,cheesecloth,,Q2621157
tuch,cheesecloth,,Q2621157
tuche,cheesecloth,,Q2621157
tuchel,cheesecloth,,Q2621157
tuchlin,cheesecloth,,Q2621157
tuech,cheesecloth,,Q2621157
tuech,cheesecloth,,Q2621157
tueche,cheesecloth,,Q2621157
tuechel,cheesecloth,,Q2621157
tuechelein,cheesecloth,,Q2621157
tuechernn,cheesecloth,,Q2621157
tuechlein,cheesecloth,,Q2621157
tuechlin,cheesecloth,,Q2621157
tueech,cheesecloth,,Q2621157
tueechl,cheesecloth,,Q2621157
tuennst,steam,,Q3251738
tuepfe,cooking pot,,Q2366864
tuchlein,cheesecloth,,Q2621157
tuoch,cheesecloth,,Q2621157
tuoche,cheesecloth,,Q2621157
tuoech,cheesecloth,,Q2621157
twierel,whisk,,Q263057
twirll,whisk,,Q263057
twitel,whisk,,Q263057
tygel,container,,Q987767
tygell,container,,Q987767
tymppten,ink,,Q127418
tzwerklein,skewer,,Q1323569
tzwirel,whisk,,Q263057
ueberdekch,lid,warningKONTEXT,Q2488579
vadem,thread,,Q1391831
vaden,thread,,Q1391831
vadenn,thread,,Q1391831
vaeezzel,barrel,,Q10289
vaeezzell,barrel,,Q10289
vaessel,barrel,,Q10289
vaeszlein,barrel,,Q10289
vaffel,barrel,,Q10289
varmm,thread,,Q1391831
vas,barrel,warningPOS,Q10289
vaslein,barrel,,Q10289
vass,barrel,warningPOS,Q10289
vassel,barrel,,Q10289
vassell,barrel,,Q10289
vasz,barrel,warningPOS,Q10289
vaz,barrel,,Q10289
vazz,barrel,,Q10289
vazze,barrel,,Q10289
vazzs,barrel,,Q10289
vederen,feather,,Q81025
velg,sausage stuffing tube,,Q107272840
verderen,nib,warningKONTEXT,Q14524064
vessel,barrel,,Q10289
vessell,barrel,,Q10289
veßlein,barrel,,Q10289
veszel,barrel,,Q10289
veszlein,barrel,,Q10289
veszlin,barrel,,Q10289
veygpawmyn koelln,ember,,Q177257
vezzel,barrel,,Q10289
vezzell,barrel,,Q10289
viuer,ember,,Q177257
viuere,ember,,Q177257
vnnder richt,unsolved,,Q0
walczen,rolling pin,,Q207763
walg holcz,rolling pin,,Q207763
walgholcz,rolling pin,,Q207763
walgholtz,rolling pin,,Q207763
wallczen,rolling pin,,Q207763
waltzen,rolling pin,,Q207763
wegel holtz,rolling pin,,Q207763
wegelholtz,rolling pin,,Q207763
welg holcz,rolling pin,,Q207763
wegen,kitchen scales,,Q1796864
welgel holtz,rolling pin,,Q207763
welger hultz,rolling pin,,Q207763
welgerhultz,rolling pin,,Q207763
welholtz,rolling pin,,Q207763
welig holcz,rolling pin,,Q207763
wellen,rolling pin,,Q207763
weystuch,cheesecloth,,Q2621157
wolffs zannd,canine tooth,,Q19625
zannd,tooth,warningKONTEXT,Q553
zapphen,cone,,Q42344
zbayholczer In den varmm wenn man sy zw samen druckt das sy einen vornn machent als ein rephon,partridge mold,,Q107272868
zcweck,skewer,,Q1323569
zcwecke,skewer,,Q1323569
zcwecken,skewer,,Q1323569
zcwecklin,skewer,,Q1323569
ziegel,brick,,Q40089
ziegel stain,brick,,Q40089
ziegell stain,brick,,Q40089
ziegelstain,brick,,Q40089
zigelofen,masonry kiln,,Q908601
zin,container,,Q987767
zway holcz In der formm zwayer repphuenr wenn man die zusamen drukcht das es formm macht als ein repphuenn,partridge mold,,Q107272868
zway holczer in der formm zwaier rephuner wenn man die zu samen drukcht das es formm macht als ein rephun,partridge mold,,Q107272868
zway holczer Inder formm wen sy zw samen truck daz sy ein formm machent als eyn repphuen,partridge mold,,Q107272868
zweck,skewer,,Q1323569
zweckchlein,skewer,,Q1323569
zwecken,skewer,,Q1323569
zwecklin,skewer,,Q1323569
zwekchlein,skewer,,Q1323569
zwen stacken vor kuelpot als dy maurochen,morel shaping tool,,Q107272837
zwen stekchen vornn chuellpatt als die maurochen,morel shaping tool,,Q107272837
zyegel,brick,,Q40089